Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
sirajgonj2253,Gas/HSD,NWPGCL,1*141,220,220,80,,Gas shortage,,Rajshahi,,,
natore52rajlanka,HFO,IPP,6*8.92,52,52,,10,Engine problem,,Rajshahi,,,
adanipowerjharkhanda,Coal,Import,748*1,748,748,,,On test.,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,13,,,,Rangpur,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,58,,Fuel shortage,,Rangpur,,,
ghorasal12,Gas,PDB,2*55,110,85,,85,"Unit-1,2 Under maint",,Dhaka,,,
ghorashal785max,Gas,QRPP,2*40,78,78,78,,Gas shortage,,Dhaka,,,
katpotti52sinha,HFO,IPP,7*7.9,51,51,51,,Fuel shortage,,Dhaka,,,
chattogram1,Gas,PDB,1*210,210,180,50,,Gas shortage,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,,23,Engine problem,,Chattogram,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,,STG U/M,,Cumilla,,,
ashuganj55precision,Gas,RPP ,15*4,55,55,40,,Gas shortage,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,63,ST under shut down,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,62,,Gas shortage,,Mymensingh,,,
jamalpur95powerpac,HFO,IPP,12*8.924,95,95,,40,Engine problem,,Mymensingh,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,60,Unit-4 under shut down,,Sylhet,,,
shahjibazarg89,Gas,PDB,2*35,70,66,,,Unit 8 U/M,,Sylhet,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,126,GT-2 & ST Under maint.,,Barisal,,,
bhola95aggreko,Gas,QRPP,96*1.10,95,95,,18,Engine problem,,Barisal,,,
katakhali50northern,HFO,QRPP,6*8.9,50,50,50,,Fuel shortage.,,Rajshahi,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,,75,ST Under maint & gas shoratge,,Rajshahi,,,
barapukuria2753,Coal,PDB,1*275,274,274,124,,Coal Shortage.,,Rangpur,,,
ghorasal12,Gas,PDB,2*55,110,85,,53,#2 Under maint.,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,,,Gas shortage,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,,,Gas shortage,,Dhaka,,,
chattogram1,Gas,PDB,1*210,210,180,85,,Gas shortage,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,,,Engine problem,,Chattogram,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,,8,Engine problem,,Cumilla,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,127,,Gas shortage,,Cumilla,,,
ashuganj51midland,Gas,IPP,6*9.34,51,51,,5,Engine problem,,Cumilla,,,
shahjibazar50epl,Gas,RPP,27*2.0,50,50,,8,Engine problem,,Sylhet,,,
sylhet50epl,Gas,RPP ,27*2,50,50,,,,,Sylhet,,,
khulna225,HSD,NWPGCL,1*150+1*75,230,230,,80,ST Under maint,,Khulna,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,12,,Gas shortage,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,,,Contract Expired,,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,,,,,Dhaka,,,
madanganj102summit,HFO,NENP,6*17,102,102,,17,Engine problem,,Dhaka,,,
keraniganj100powerpac,HFO,NENP,8*13.45,100,75,35,,Fuel shortage,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,,,,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,,12,Engine problem,,Dhaka,,,
kodda150,HFO,BPDB-RPCL,9*17.06,149,149,51,,Fuel shortage,,Dhaka,,,
rupganj33summit,Gas,"SIPP,REB",4*8.73,33,33,,9,Engine problem,,Dhaka,,,
gazipur52,HFO,RPCL,6*8.9,52,52,36,,Fuel shortage,,Dhaka,,,
kodda1491summit,HFO,IPP,8*18.45+8.97,149,149,69,,Fuel shortage,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,51,,Fuel shortage,,Dhaka,,,
meghnaghatuniquepower,Gas,IPP,586,0,0,,,,,Dhaka,,,
summitmeghanghat2589,Gas,IPP,589,0,0,,,,,Dhaka,,,
patenga50baraka,HFO,IPP,8*6.98,50,50,32,,Fuel shortage,,Chattogram,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,154,,Low water lavel,,Chattogram,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*75,225,225,25,,Gas shortage,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,33,,Fuel shortage,,Chattogram,,,
juldah1003acorn,HFO,IPP,8*13.5,100,100,88,,Fuel shortage,,Chattogram,,,
barabkunda22regent,Gas,"SIPP, PDB",8*2.90,22,22,4,,Gas shortage,,Chattogram,,,
anwara300ed,HFO,IPP,17*17+24,300,300,40,,Fuel shortage,,Chattogram,,,
mirsharai150,HFO,BPDB-RPCL,18.5*9,163,163,13,,Fuel shortage,,Chattogram,,,
sspoweri,Coal,SS Power ,2*612,1224,1224,774,,Coal Shortage.,,Chattogram,,,
matarbari2600cpgcl,Coal,CPGCL,0,0,0,,,On test.,,Chattogram,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,221,,Gas shortage,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,80,,Gas shortage,,Cumilla,,,
ashuganj420east,Gas,APSCL,284*1+116*1,400,400,400,,under maint,,Cumilla,,,
ashuganj55precision,Gas,QRPP,0,55,0,,,,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,75,,Fuel shortage,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,22,,Fuel shortage,,Cumilla,,,
fenilankapower,HFO,IPP,7*18.415+1*9.78,114,114,14,,Engine problem,,Cumilla,,,
chandpur115doreen,HFO,IPP,4*18.5+2*22.5,115,115,97,,Fuel shortage,,Cumilla,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,170,,Fuel shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,35,,Fuel shortage,,Mymensingh,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,90,Machine problem,,Sylhet,,,
shahjibazar86shahjibazar,Gas,RPP ,32*2.90,86,86,36,,Gas shortage,,Sylhet,,,
bibiyanasouth400,Gas,PDB,400 MW,383,383,,383,Under maint,,Sylhet,,,
khulna115kpcl2,HFO,NENP,7*17,115,115,83,,Fuel shortage,,Khulna,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,,109,Under maint.,,Khulna,,,
rampal1320bifpcl,Coal,NTPC&BPDB,660*2,617,617,,,,,Khulna,,,
bhola33venture,Gas,NENP,1*34.50,40,40,,20,Engine problem,,Barisal,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,74,ST Under maint.,,Barisal,,,
payra1320,Coal,BCPCL,2*622,1244,1244,,622,#01 Under maint.,,Barisal,,,
edpayrapower,HFO,IPP,8*18.5+1*9.5,150,150,115,,Fuel shortage,,Barisal,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,18,,Fuel shortage,,Rajshahi,,,
bera70peaking,HFO,PDB,9*8.29,71,71,,51,Engine problem,,Rajshahi,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,,,Gas shortage,,Rajshahi,,,
santahar50peaking,HFO,PDB,6*8.7,50,50,12,,Engine problem,,Rajshahi,,,
bogra22gbb,Gas,RPP ,0,22,0,,,Contract Expired,,Rajshahi,,,
natore52rajlanka,HFO,IPP,6*8.92,52,52,31,,Fuel shortage,,Rajshahi,,,
bagura113confidence2,HFO,IPP,6*18.55+7.2,113,113,78,,Fuel shortage,,Rajshahi,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,78,,Fuel shortage,,Rajshahi,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,64,,Fuel shortage,,Rangpur,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,,165,Machine problem,,Dhaka,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,86,,Gas shortage,,Dhaka,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,132,,Gas shortage,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,360,,Gas shortage,,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,,27,Engine problem,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,335,335,120,,FGMO,,Dhaka,,,
madanganj55summit,HFO,IPP,3*17.08+1*11.3,55,55,,10,Engine problem,,Dhaka,,,
narshingdi22doreen,Gas,"SIPP, REB",8*2.90,22,22,,6,Engine problem,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,,20,Engine problem,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,52,,Fuel shortage,,Dhaka,,,
kodda150,HFO,BPDB-RPCL,9*17.06,149,149,117,,Fuel shortage,,Dhaka,,,
rupganj33summit,Gas,"SIPP,REB",4*8.73,33,33,,8,Engine problem,,Dhaka,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,,15,Engine problem,,Dhaka,,,
kodda1491summit,HFO,IPP,8*18.45+8.97,149,149,85,,Fuel shortage,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,22,,Fuel shortage,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,18.4*3,55,55,25,,Fuel shortage,,Dhaka,,,
raozan25,HFO,RPCL,3*8.9,25,25,,8,Engine problem,,Chattogram,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,184,,Low Water Level ,,Chattogram,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*175,225,225,,74,ST under maint,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,66,,Fuel shortage,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,90,,Fuel shortage,,Chattogram,,,
anwara300ed,HFO,IPP,17*17+24,300,300,,10,Engine problem,,Chattogram,,,
jodiacpower,HFO,IPP,3*18.55+1*3.6,54,54,,18,Engine problem,,Chattogram,,,
karnaphulipower,HFO,IPP,18.415*6+6.5,110,110,,36,Engine problem,,Chattogram,,,
ashuganj450north,Gas,APSCL,1*360,360,360,,360,Gas shortage,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,0,,,,Cumilla,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,2,,Gas shortage,,Cumilla,,,
ashuganj55precision,Gas,QRPP,15*4,55,55,0,,Gas shortae,,Cumilla,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,95,,Gas shortage,,Cumilla,,,
ashuganj51midland,Gas,IPP,6*9.34,51,51,1,,Gas shortage,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,,,Fuel shortage,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,20,Engine problem,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,93,,Gas shortage.,,Cumilla,,,
fenilankapower,HFO,IPP,7*18.415+1*9.78,114,114,15,,Fuel shortage,,Cumilla,,,
bhairob545,HFO,IPP,3*18.2,54,54,,18,Engine problem,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,130,,Gas shortage,,Mymensingh,,,
tangail22doreen,Gas,"SIPP, PDB",8*2.90,22,22,15,,Gas shortage,,Mymensingh,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,143,,Fuel shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,57,,Fuel shortage,,Mymensingh,,,
tangailpallipowergen22,HFO,IPP,4*6.7,22,22,,10,Engine problem,,Mymensingh,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,69,Machine problem,,Sylhet,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,78,,Gas shortage,,Sylhet,,,
hobiganj11cofidencee,Gas,"SIPP, REB",4*2.90,11,11,3,,Gas shortage,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,231,Under maint,,Sylhet,,,
sylhet50epl,Gas,NENP,27*2,50,50,18,,Gas shortage,,Sylhet,,,
bibianaii341summit,Gas,IPP,1*222+1*119,341,341,,341,Under maint.,2022-12-23 00:00:00,Sylhet,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,,34,Engine problem,,Khulna,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,230,,Gas shortage,,Khulna,,,
rupsha105orionrupsha,HFO,IPP,6*18.445,105,105,,30,Engine problem,,Khulna,,,
bhola33venture,Gas,NENP,1*34.50,40,40,,21,Engine problem,,Barisal,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,49,Machine problem,,Barisal,,,
payra1320,Coal,BCPCL,2*622,1244,1244,,622,Unit-1 under maint,,Barisal,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,,18,Engine problem,,Rajshahi,,,
bera70peaking,HFO,PDB,9*8.29,71,71,,42,Engine problem,,Rajshahi,,,
katakhali50northern,HFO,QRPP,6*8.9,50,50,,0,Engine problem,,Rajshahi,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,149,,Gas shortage,,Rajshahi,,,
natore52rajlanka,HFO,IPP,6*8.92,52,52,,44,Engine problem,,Rajshahi,,,
chapainawabganj100peaking,HFO,PDB,12*8.924,104,104,,,,,Rajshahi,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,,18,Engine problem,,Rajshahi,,,
adanipowerjharkhanda,Coal,Import,0,0,0,,,,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,85,,Coal shortage,,Rangpur,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,,28,Engine problem,,Rangpur,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,33,,Gas shortage,,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,0,0,,,,,Dhaka,,,
madanganj102summit,HFO,NENP,6*17,0,0,,,,,Dhaka,,,
madanganj55summit,HFO,IPP,3*17.08+1*11.3,55,55,15,,Fuel shortage,,Dhaka,,,
keraniganj100powerpac,HFO,NENP,8*13.45,100,75,75,,Engine problem.,,Dhaka,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,110,,Titas gas line problem.,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,0,0,,,,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,12,,Engine problem,,Dhaka,,,
summitpowermadhabdiashulia,Gas,"SIPP,REB",3*3.67+4*8.73,80,80,,44,Engine problem,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,32,,Lube oil shortage.,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,18.4*3,55,55,55,,engine problem.,,Dhaka,,,
meghnaghatuniquepower,Gas,IPP,586,584,584,,,,,Dhaka,,,
chattogram1,Gas,PDB,1*210,210,180,65,,Gas shortage,,Chattogram,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,200,,Low water lavel,,Chattogram,,,
sikalbaha105barakasikalbaha,HFO,IPP,6*17.5,105,105,71,,Fuel shortage,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,41,,,,Chattogram,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,,35,Engine problem,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,,,,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,70,,Fuel shortage,,Chattogram,,,
anwara300ed,HFO,IPP,17*17+24,300,300,284,,,,Chattogram,,,
jodiacpower,HFO,IPP,3*18.55+1*3.6,54,54,18,,Fuel shortage,,Chattogram,,,
juldah2acorn,HFO,IPP,8*13.6,100,100,100,,Fuel shortage,,Chattogram,,,
sspoweri,Coal,SS Power ,2*612,1224,1224,954,,Coal Shortage.,,Chattogram,,,
matarbari2600cpgcl,Coal,CPGCL,0,575,575,,,Unit-2 on test,,Chattogram,,,
sonagazi75solarplant,Solar,EGCB,75,0,0,,,on test,,Chattogram,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,11,,,,Cumilla,,,
ashuganj55precision,Gas,QRPP,0,55,55,5,,,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,144,,Fuel shortage,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,11,Engine problem,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,163,Machine problem,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,50,,Fuel shortage,,Cumilla,,,
feni11doreen,Gas,"SIPP, REB",4*2.90,11,11,,5,Contract Expired,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,40,,Fuel shortage,,Cumilla,,,
chandpur115doreen,HFO,IPP,4*18.5+2*22.5,115,115,,20,Engine problem,,Cumilla,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,92,,Fuel shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,18,,Fuel shortage,,Mymensingh,,,
tangailpallipowergen22,HFO,IPP,4*6.7,22,22,4,,Fuel shortage,,Mymensingh,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,60,Machine problem,,Sylhet,,,
shahjibazar86shahjibazar,Gas,RPP ,32*2.90,86,0,,,Contract Expired,,Sylhet,,,
khulna115kpcl2,HFO,NENP,7*17,0,0,,,,,Khulna,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,,12,Engine problem,,Khulna,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,,47,Engine problem,,Khulna,,,
noapara40khanjahanali,HFO,NENP,5*8.5,0,0,,,,,Khulna,,,
rupsha105orionrupsha,HFO,IPP,6*18.445,105,105,15,,Fuel shortage,,Khulna,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,64,ST Under maint.,,Barisal,,,
edpayrapower,HFO,IPP,8*18.5+1*9.5,150,150,123,,fuel shortage.,,Barisal,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,14,,Fuel shortage,,Rajshahi,,,
santahar50peaking,HFO,PDB,6*8.7,50,50,17,,Engine problem,,Rajshahi,,,
bagura113confidence2,HFO,IPP,6*18.55+7.2,113,113,36,,Fuel shortage,,Rajshahi,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,38,,Fuel shortage,,Rajshahi,,,
adanipowerjharkhanda,Coal,Imported power,748*2,1496,1496,,,Engine problem,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,10,,Under maint,,Rangpur,,,
barapukuria2753,Coal,PDB,1*275,274,274,,44,Coal Shortage.,,Rangpur,,,
ghorasal5,Gas,PDB,1*210,210,190,,190,Gas shortage,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,160,,Gas shortage,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,280,,Gas shortage,,Dhaka,,,
madanganj55summit,HFO,(IPP),3*17.08+1*11.3,55,55,,15,Engine problem,,Dhaka,,,
maona33summit,Gas,"SIPP,REB",4*8.73,33,33,,13,Engine problem,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,55,55,55,,,,,Dhaka,,,
raozan25,HFO,IPP,3*8.9,25,25,,8,Engine problem,,Chattogram,,,
patenga50baraka,HFO,IPP,8*6.98,50,50,,10,Engine problem,,Chattogram,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,146,Low Water Level ,,Chattogram,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,,51,Fuel shortage,,Chattogram,,,
barabkunda22regent,Gas,"SIPP, PDB",8*2.90,22,22,,2,Engine problem,,Chattogram,,,
ashuganj3,Gas,APSCL,1*150,0,0,0,,Contract Expired,,Cumilla,,,
ashuganj450north,Gas,APSCL,1*360,360,360,160,,"ST under maint, Gas shortage",,Cumilla,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,16,,Gas shortage,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,75,ST under maint ,,Cumilla,,,
cumilla25summit,Gas,"SIPP, PDB",3*3.67+2*6.97,25,25,,16,Engine problem,,Cumilla,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,60,GT-4 under maint.,,Sylhet,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,53,,Gas shortage,,Sylhet,,,
shajibazar330,Gas,PDB,3*110,330,330,,180,GT-2  under S/D due to gas,,Sylhet,,,
fenchugonj51barakatullah,Gas,RPP ,19*2.90,51,51,,, ,,Sylhet,,,
sylhet10desh,Gas,RPP ,6*1.95,10,10,10,,Gas shortage,,Sylhet,,,
bhola225,Gas,PDB,2*63+1*68,194,194,102,,Gas shortage,,Barisal,,,
bera70peaking,HFO,PDB,9*8.29,71,71,,21,Engine problem,,Rajshahi,,,
amnura50sinha,HFO,QRPP,7*7.79,50,50,,,Contact expired,,Rajshahi,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,114,,Gas shortage,,Rajshahi,,,
santahar50peaking,HFO,PDB,6*8.7,50,50,,19,Engine problem,,Rajshahi,,,
rangpur20g,HSD,PDB,1*20,20,20,,5,,,Rangpur,,,
ghorasalst12,Gas,PDB,2*55,110,85,,50,Unit #1 Under maint.,,Dhaka,,,
ghorasalgt3,Gas,PDB,1*210,210,170,,170,Under maint.,,Dhaka,,,
ghorasalst5,Gas,PDB,1*210,210,190,,190,Under maint.,,Dhaka,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,,139,ST under maint. & FGMO,,Dhaka,,,
haripurnepc110,HFO,IPP,8*15,110,110,,15,Engine problem,,Dhaka,,,
meghnaghat450,Gas,IPP,2*150+1*150,450,450,,, ,,Dhaka,,,
meghnaghatsummit,HSD,IPP,2*110+1*110,305,305,,305,Reserve,,Dhaka,,,
siddhirgonjgt12,Gas,EGCB, 2*105,210,210,210,,Gas shortage,,Dhaka,,,
siddhirganjdesh,HSD,QRPP ,96*1.2,100,100,,,,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217,217,217,217,,Gas shortage,,Dhaka,,,
northern55,HFO,IPP,3*19.3,55,55,,18,Engine problem,,Dhaka,,,
bosila108,HFO,IPP,12*8.775+1*3.5,108,108,,59,Engine problem,,Dhaka,,,
chattogramst1raozan,Gas,PDB,1*210,210,180,180,,Gas shortage,,Chattogram,,,
chittgongst2raozan,Gas,PDB,1*210,210,180,70,,Gas shortage,,Chattogram,,,
kaptaihydro12345,Hydro,PDB,2*40+3*50,230,230,,158,Low water lavel,,Chattogram,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*175,225,225,,,Under maint.,,Chattogram,,,
sikalbahapeakinggt,Gas/HSD,PDB,1*150 ,150,150,,150,Under maint.,,Chattogram,,,
sikalbahaenergis,HFO,RPP ,4*12.5+2*11.9+1*3+1*1.5,51,51,,,,,Chattogram,,,
juldahacorn,HFO,QRPP,8*13.45,100,100,,32,Engine problem,,Chattogram,,,
juldah1003,HFO,IPP,0,100,100,,16,Engine problem,,Chattogram,,,
ashuganjst4,Gas,APSCL,1*150,150,129,29,,Under maint.,,Cumilla,,,
ashuganjst5,Gas,APSCL,1*150,150,134,,134,Under Maint.,,Cumilla,,,
ashuganjsouth,Gas,APSCL,1*360,360,360,,,FGMO,,Cumilla,,,
ashuganjenginestsk,Gas,APSCL,14*3.968,53,45,,8,Engine problem,,Cumilla,,,
ashuganjprecision55,Gas,RPP ,15*4,55,55,50,,Gas shortage,,Cumilla,,,
ashuganj195modular,Gas,IPP,20*9.73+1*16,195,195,187,,Gas Shortage,,Cumilla,,,
bbariaaggreko85,Gas,QRPP ,86*1.10,85,85,,,,,Cumilla,,,
chandpur,Gas,PDB,1*106+1*57,163,163,,57,ST under maint.,,Cumilla,,,
mymensinghrpcl210,Gas,IPP,4*35+1*70,210,202,117,,Gas shortage ,,Mymensingh,,,
jamalpur95,HFO,IPP,12*8.924,95,95,,8,Enjgine problem,,Mymensingh,,,
edjamalpurl,HFO,IPP,115 MW,0,0,,,,,Mymensingh,,,
fenchugonj1,Gas,PDB,2*32+1*33,97,70,,40,GT-1 under maint.,,Sylhet,,,
shajibazar330,Gas,PDB,3*110,330,330,,110,ST under maint.,,Sylhet,,,
shahjibazargt89,Gas,PDB,2*35,70,66,,,,,Sylhet,,,
shahjibazarepl50,Gas,RPP,27*2.0,50,50,,,,,Sylhet,,,
sylhetepl50,Gas,RPP ,27*2,50,50,,27,Engine problem,,Sylhet,,,
bheramara360,Gas,NWPGCL,1*278+1*132,410,410,,,,,Khulna,,,
bholaventure33,Gas,RPP,1*34.50,33,33,,7,Engine problem,,Barisal,,,
baghabarigt71,Gas,PDB,1*71,71,71,71,,Gas shortage.,,Rajshahi,,,
baghabarigt100,Gas,PDB,1*100,100,100,,100,Gas shortage.,,Rajshahi,,,
amnura50,HFO,QRPP,7*7.79,50,50,,10,Engine problem,,Rajshahi,,,
sirajgonj1225,Gas/HSD,NWPGCL,1*150+1*75,210,210,210,,Gas shortage,,Rajshahi,,,
sirajgonj2225,Gas/HSD,NWPGCL,1*150+1*75,220,220,220,,Gas shortage,,Rajshahi,,,
sirajgonj3225,Gas/HSD,NWPGCL,1*141,141,141,,,,,Rajshahi,,,
sirajgonj4414,Gas,SNWPGCL,1*282,282,282,282,,Gas shortage,,Rajshahi,,,
rajlanka52,HFO,IPP,6*8.92,52,52,,9,Engine problem,,Rajshahi,,,
chapainawabganj100,HFO,PDB,12*8.924,104,104,,,,,Rajshahi,,,
paramountbaghabari,HSD,IPP,200 MW,0,0,,,On Test,,Rajshahi,,,
confidencecpbl2,HFO,IPP,113 MW,0,0,,,On test,,Rajshahi,,,
barapukuria3,Coal,PDB,1*275,274,274,124,,Coal shortage,,Rangpur,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,0,,Fuel shortage.,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,50,,Fuel shortage,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,11,,Lub Oil problem,,Dhaka,,,
summitpowermadhabdiashulia,Gas,"SIPP,REB",3*3.67+4*8.73,80,80,,43,Engine problem,,Dhaka,,,
maona33summit,Gas,"SIPP,REB",4*8.73,33,33,,9,Engine problem,,Dhaka,,,
rupganj33summit,Gas,"SIPP,REB",4*8.73,33,33,,22,Engine problem,,Dhaka,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,,20,Engine problem,,Dhaka,,,
kodda1491summit,HFO,IPP,8*18.45+8.97,149,149,,17,Engine problem,,Dhaka,,,
gazipur100,HFO,RPCL,6*17.5,105,105,52,,Fuel shortage,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,87,,Lub Oil problem,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,18.4*3,55,55,,20,Engine problem.,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,18,,,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,24,,Fuel shortage,,Chattogram,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,,19,Engine problem,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,,,Contract Expired,,Chattogram,,,
